artist,song
Nelly & Tim McGraw,Over & Over
Craig David,Fill Me In
Linkin Park,Numb
Rob Thomas,Lonely No More
Pink,Most Girls
Christina Milian & Samy Deluxe,Dip It Low
Jennifer Lopez,Jenny From The Block
Aaliyah,Miss You
B2K & P Diddy,Bump Bump Bump
Beyonce & Slim Thug,Check On It
